sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup
0.083329,1.666573,0.014359,6.7e-05,0.173845,specbzip,Cacheline_128,1.67965,1.0078466409812232
0.10557,2.111404,0.02405,9.7e-05,0.584866,specbzip,Cacheline_16,1.67965,0.7955133172050447
0.083098,1.661958,0.015258,6.3e-05,0.108546,specbzip,Cacheline_256,1.67965,1.0106452750310178
0.092629,1.852581,0.018283,8.7e-05,0.427357,specbzip,Cacheline_32,1.67965,0.9066540140485085
0.081737,1.634732,0.010771,6.7e-05,0.23603,specbzip,cl_128_L1d_128kB,1.67965,1.0274772867968571
0.084813,1.696263,0.017911,6.7e-05,0.137935,specbzip,cl_128_L1d_32kB,1.67965,0.990206117801308
0.085221,1.704425,0.017858,6.7e-05,0.139039,specbzip,cl_128_L1d_assoc_1,1.67965,0.9854643061443009
0.082492,1.649833,0.012826,6.7e-05,0.195893,specbzip,cl_128_L1d_assoc_4,1.67965,1.0180727382710857
0.083331,1.666628,0.014359,7.8e-05,0.173868,specbzip,cl_128_L1i_16kB,1.67965,1.0078133812704455
0.083316,1.666316,0.014358,5.6e-05,0.173828,specbzip,cl_128_L1i_64kB,1.67965,1.0080020836383976
0.083331,1.666628,0.014358,8.1e-05,0.17383,specbzip,cl_128_L1i_assoc_1,1.67965,1.0078133812704455
0.083324,1.666472,0.014359,5.4e-05,0.17386,specbzip,cl_128_L1i_assoc_4,1.67965,1.0079077236221192
0.084543,1.690851,0.014361,6.7e-05,0.203861,specbzip,cl_128_L2_1MB,1.67965,0.9933755251054055
0.082439,1.648784,0.014349,6.7e-05,0.154262,specbzip,cl_128_L2_4MB,1.67965,1.0187204630806703
0.083354,1.66707,0.014359,6.7e-05,0.173853,specbzip,cl_128_L2_assoc_16,1.67965,1.0075461738259341
0.083302,1.666046,0.014358,6.7e-05,0.174181,specbzip,cl_128_L2_assoc_4,1.67965,1.008165440810158
0.081225,1.624496,0.011202,6.3e-05,0.149513,specbzip,cl_256_L1d_128kB,1.67965,1.0339514532507315
0.084884,1.697672,0.019148,6.3e-05,0.085976,specbzip,cl_256_L1d_32kB,1.67965,0.9893842862461064
0.085587,1.711731,0.019451,6.3e-05,0.08539,specbzip,cl_256_L1d_assoc_1,1.67965,0.9812581532962832
0.082275,1.645503,0.013829,6.3e-05,0.120135,specbzip,cl_256_L1d_assoc_4,1.67965,1.0207517093557412
0.083112,1.662245,0.015258,8e-05,0.108559,specbzip,cl_256_L1i_16kB,1.67965,1.010470778976625
0.083139,1.662776,0.015258,4.5e-05,0.108506,specbzip,cl_256_L1i_64kB,1.67965,1.010148089700597
0.083118,1.66235,0.015258,8.2e-05,0.108535,specbzip,cl_256_L1i_assoc_1,1.67965,1.0104069540108882
0.083104,1.662078,0.015258,4.7e-05,0.108506,specbzip,cl_256_L1i_assoc_4,1.67965,1.0105723076774977
0.084335,1.686705,0.01526,6.3e-05,0.137758,specbzip,cl_256_L2_1MB,1.67965,0.9958172887375091
0.082444,1.648878,0.015236,6.3e-05,0.096603,specbzip,cl_256_L2_4MB,1.67965,1.0186623873931242
0.08312,1.662408,0.015257,6.3e-05,0.10859,specbzip,cl_256_L2_assoc_16,1.67965,1.0103717017723688
0.08306,1.661196,0.015255,6.3e-05,0.108932,specbzip,cl_256_L2_assoc_4,1.67965,1.0111088637343217
0.083982,1.67965,0.014798,7.7e-05,0.282163,specbzip,default,1.67965,1.0
0.082521,1.650416,0.011747,7.7e-05,0.363137,specbzip,L1d_128kB,1.67965,1.0177131099068355
0.082519,1.650388,0.011748,7.2e-05,0.363126,specbzip,L1d_128kB_L1i_64kB,1.67965,1.0177303761297345
0.084073,1.681455,0.011745,7.2e-05,0.410075,specbzip,L1d_128kB_L1i_64kB_L2_1MB,1.67965,0.9989265249441704
