Benchmark,Config,Cost,speedup,pcr
spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,3.5294117647058822,1.0090129499042728,0.2858870024728773
specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,3.5294117647058822,1.0496579151949648,0.2974030759719067
specsjeng,Cacheline_16,0.9558823529411765,0.3067135008149568,0.3208695085448779
spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,3.0588235294117645,1.0091938203798334,0.3299287489703302
specmcf,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,3.5294117647058822,1.1728600706011938,0.3323103533370049
specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,3.0588235294117645,1.0551433566455533,0.34495071274950784
speclibm,Cacheline_16,0.9558823529411765,0.35642603778258947,0.37287647029563203
specmcf,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,3.0588235294117645,1.1730401098008054,0.38349388205026336
spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,2.588235294117647,1.0090129499042728,0.3898459124630145
specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,2.588235294117647,1.0495555955469575,0.4055101164613245
specmcf,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,2.588235294117647,1.1728600706011938,0.4531504818231885
spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,2.1176470588235294,1.008943533434631,0.4764455574552424
specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,2.1176470588235294,1.0497182669039857,0.49570029270465993
speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,3.5294117647058822,1.7560955870081456,0.49756041631897463
specbzip,L2_assoc_64,1.8235294117647058,0.998871872151061,0.5477684460183238
spechmmer,L2_assoc_64,1.8235294117647058,0.9999755881159581,0.5483737096119771
specmcf,L2_assoc_64,1.8235294117647058,0.9999861443923663,0.5483794985377493
speclibm,L2_assoc_64,1.8235294117647058,1.0,0.5483870967741935
specsjeng,L2_assoc_64,1.8235294117647058,1.0006104661131878,0.5487218685136837
