Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip/1GHz	0.161025	1.610247	0.014675	0.000077	0.282157
specbzip/3GHz	0.058385	1.753291	0.014932	0.000077	0.282166
specbzip/Cacheline_128	0.083329	1.666573	0.014359	0.000067	0.173845
specbzip/Cacheline_16	0.105570	2.111404	0.024050	0.000097	0.584866
specbzip/Cacheline_256	0.083098	1.661958	0.015258	0.000063	0.108546
specbzip/Cacheline_32	0.092629	1.852581	0.018283	0.000087	0.427357
specbzip/default	0.083982	1.679650	0.014798	0.000077	0.282163
specbzip/L1d_128kB	0.082521	1.650416	0.011747	0.000077	0.363137
specbzip/L1d_128kB_L1i_64kB	0.082519	1.650388	0.011748	0.000072	0.363126
specbzip/L1d_128kB_L1i_64kB_L2_1MB	0.084073	1.681455	0.011745	0.000072	0.410075
specbzip/L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16	0.083995	1.679890	0.011742	0.000072	0.407328
specbzip/L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4	0.083606	1.672113	0.010948	0.000072	0.440234
specbzip/L1d_128kB_L1i_64kB_L2_4MB	0.081217	1.624346	0.011745	0.000072	0.323989
specbzip/L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16	0.081197	1.623941	0.011744	0.000072	0.325455
specbzip/L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4	0.080804	1.616081	0.010950	0.000072	0.351737
specbzip/L1d_32kB	0.085315	1.706294	0.017943	0.000077	0.229498
specbzip/L1d_assoc_1	0.085576	1.711521	0.017875	0.000077	0.231125
specbzip/L1d_assoc_4	0.083184	1.663677	0.013334	0.000077	0.315939
specbzip/L1d_assoc_8	0.082879	1.657590	0.012735	0.000077	0.332218
specbzip/L1i_16kB	0.084007	1.680134	0.014799	0.000084	0.282187
specbzip/L1i_64kB	0.083994	1.679876	0.014800	0.000072	0.282148
specbzip/L1i_assoc_1	0.083998	1.679958	0.014798	0.000090	0.282120
specbzip/L1i_assoc_4	0.083992	1.679834	0.014799	0.000070	0.282188
specbzip/L1i_assoc_8	0.083998	1.679962	0.014799	0.000070	0.282188
specbzip/L2_1MB	0.085526	1.710520	0.014796	0.000077	0.318634
specbzip/L2_4MB	0.082692	1.653848	0.014796	0.000077	0.251734
specbzip/L2_assoc_16	0.084064	1.681276	0.014799	0.000077	0.283168
specbzip/L2_assoc_2	0.084406	1.688129	0.014791	0.000077	0.292739
specbzip/L2_assoc_32	0.084043	1.680863	0.014800	0.000077	0.283310
specbzip/L2_assoc_4	0.083942	1.678833	0.014793	0.000077	0.282144
specbzip/L2_assoc_64	0.084077	1.681547	0.014800	0.000077	0.283690
spechmmer/1GHz	0.118530	1.185304	0.001629	0.000221	0.077747
spechmmer/3GHz	0.039646	1.190581	0.001637	0.000221	0.077761
spechmmer/Cacheline_128	0.059099	1.181978	0.000881	0.000345	0.072025
spechmmer/Cacheline_16	0.061015	1.220304	0.006153	0.000206	0.077133
spechmmer/Cacheline_256	0.058993	1.179864	0.000544	0.000468	0.056276
spechmmer/Cacheline_32	0.059842	1.196843	0.003134	0.000190	0.078314
spechmmer/default	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer/L1d_128kB	0.059317	1.186345	0.000701	0.000212	0.180008
spechmmer/L1d_128kB_L1i_64kB	0.059292	1.185839	0.000702	0.000087	0.193947
