Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip/cl_256_L1d_128kB	0.081225	1.624496	0.011202	0.000063	0.149513
specbzip/cl_256_L1d_32kB	0.084884	1.697672	0.019148	0.000063	0.085976
specbzip/cl_256_L1i_16kB	0.083112	1.662245	0.015258	0.000080	0.108559
specbzip/cl_256_L1i_64kB	0.083139	1.662776	0.015258	0.000045	0.108506
specbzip/default	0.083982	1.679650	0.014798	0.000077	0.282163
spechmmer/cl_256_L1d_128kB	0.058922	1.178440	0.000237	0.000468	0.101365
spechmmer/cl_256_L1d_32kB	0.059156	1.183120	0.000991	0.000470	0.035649
spechmmer/cl_256_L1i_16kB	0.059032	1.180635	0.000544	0.000773	0.048814
spechmmer/cl_256_L1i_64kB	0.058953	1.179064	0.000544	0.000074	0.070083
spechmmer/default	0.059396	1.187917	0.001637	0.000221	0.077760
speclibm/cl_256_L1d_128kB	0.099532	1.990648	0.015244	0.000134	0.999482
speclibm/cl_256_L1d_32kB	0.099532	1.990648	0.015245	0.000135	0.999442
speclibm/cl_256_L1i_16kB	0.099532	1.990648	0.015244	0.000172	0.999171
speclibm/cl_256_L1i_64kB	0.099530	1.990606	0.015244	0.000090	0.999833
speclibm/DDR3_2133_x64	0.171530	3.430593	0.060972	0.000094	0.999944
speclibm/default	0.174671	3.493415	0.060972	0.000094	0.999944
specmcf/cl_256_L1d_128kB	0.064826	1.296513	0.000806	0.032583	0.011630
specmcf/cl_256_L1d_32kB	0.065183	1.303668	0.002090	0.032582	0.011154
specmcf/cl_256_L1i_16kB	0.074207	1.484133	0.001172	0.063935	0.006018
specmcf/cl_256_L1i_64kB	0.055531	1.110613	0.001172	0.000027	0.292734
specmcf/default	0.064955	1.299095	0.002108	0.023612	0.055046
specsjeng/cl_256_L1d_128kB	0.258784	5.175684	0.030467	0.000011	0.999509
specsjeng/cl_256_L1d_32kB	0.258801	5.176027	0.030490	0.000011	0.998040
specsjeng/cl_256_L1i_16kB	0.258790	5.175806	0.030472	0.000014	0.999110
specsjeng/cl_256_L1i_64kB	0.258787	5.175745	0.030472	0.000009	0.999218
specsjeng/default	0.513528	10.270554	0.121831	0.000020	0.999972
