Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16	0.080009	1.600188	0.010138	0.000039	0.145083
specbzip/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4	0.080005	1.600096	0.010138	0.000041	0.145076
specbzip/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8	0.080017	1.600344	0.010138	0.000039	0.145083
specbzip/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8	0.079593	1.591869	0.009350	0.000039	0.157904
spechmmer/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16	0.058865	1.177306	0.000216	0.000043	0.183369
spechmmer/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4	0.058869	1.177387	0.000216	0.000050	0.181544
spechmmer/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8	0.058865	1.177306	0.000216	0.000044	0.183100
spechmmer/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8	0.058855	1.177095	0.000177	0.000044	0.227152
speclibm/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16	0.099465	1.989308	0.015244	0.000080	0.999922
speclibm/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4	0.099465	1.989308	0.015244	0.000089	0.999852
speclibm/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8	0.099465	1.989308	0.015244	0.000081	0.999914
speclibm/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8	0.099465	1.989308	0.015244	0.000081	0.999914
specmcf/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16	0.055382	1.107630	0.000748	0.000009	0.469336
specmcf/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4	0.055382	1.107630	0.000748	0.000009	0.469183
specmcf/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8	0.055382	1.107630	0.000748	0.000009	0.469314
specmcf/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8	0.055373	1.107460	0.000722	0.000009	0.485436
specsjeng/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16	0.258572	5.171443	0.030461	0.000009	0.999963
specsjeng/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4	0.258569	5.171385	0.030461	0.000009	0.999957
specsjeng/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8	0.258569	5.171385	0.030461	0.000009	0.999964
specsjeng/cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8	0.258568	5.171358	0.030461	0.000009	0.999964
