Config,sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,default_cpi,speedup,L1d,L1i,L2,cacheline,L1d_assoc,L1i_assoc,L2_assoc,Unnamed: 0,processor_peak_power,core_area,core_subthreshold_leakage,core_gate_leakage,core_runtime_dynamic,L2_area,L2_subthreshold_leakage,L2_gate_leakage,L2_runtime_dynamic,total_power,total_area,EDAP
Cacheline_128,0.136,2.712,0.022,0.007,0.453,3.586,1.171,64.000,32.000,2.000,128.000,2.000,2.000,8.000,120.400,9.229,11.040,1.183,0.007,0.430,38.433,0.016,0.004,0.056,0.486,49.474,65.221
Cacheline_16,0.481,9.611,0.153,0.003,0.574,3.586,0.668,64.000,32.000,2.000,16.000,2.000,2.000,8.000,121.400,1.564,3.724,0.617,0.003,0.060,7.432,0.005,0.000,0.005,0.065,11.155,6.969
Cacheline_256,0.113,2.261,0.013,0.007,0.435,3.586,1.351,64.000,32.000,2.000,256.000,2.000,2.000,8.000,122.400,27.207,26.872,2.387,0.015,0.888,63.515,0.034,0.008,0.130,1.019,90.387,208.207
Cacheline_32,0.276,5.514,0.078,0.003,0.533,3.586,0.827,64.000,32.000,2.000,32.000,2.000,2.000,8.000,123.400,2.226,5.134,0.794,0.005,0.123,6.379,0.004,0.000,0.006,0.129,11.513,8.206
L1d_128kB,0.179,3.580,0.039,0.005,0.520,3.586,1.004,128.000,32.000,2.000,64.000,2.000,2.000,8.000,153.600,4.363,9.880,1.381,0.010,0.320,7.004,0.005,0.001,0.011,0.331,16.884,19.985
L1d_128kB_L1i_64kB,0.178,3.551,0.039,0.000,0.667,3.586,1.029,128.000,64.000,2.000,64.000,2.000,2.000,8.000,154.600,5.362,12.271,1.782,0.013,0.329,7.004,0.005,0.001,0.008,0.337,19.275,23.052
L1d_128kB_L1i_64kB_L2_1MB,0.178,3.561,0.039,0.000,0.688,3.586,1.023,128.000,64.000,1.000,64.000,2.000,2.000,8.000,155.600,5.256,12.271,1.782,0.013,0.327,4.166,0.003,0.000,0.006,0.333,16.437,19.493
L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,0.178,3.560,0.039,0.000,0.688,3.586,1.024,128.000,64.000,1.000,64.000,2.000,2.000,16.000,156.600,5.258,12.271,1.782,0.013,0.327,4.223,0.003,0.000,0.006,0.333,16.494,19.567
L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4,0.178,3.559,0.039,0.000,0.701,3.586,1.025,128.000,64.000,1.000,64.000,4.000,2.000,16.000,157.600,5.038,13.390,1.529,0.011,0.340,4.223,0.003,0.000,0.006,0.346,17.613,21.694
L1d_128kB_L1i_64kB_L2_4MB,0.177,3.544,0.039,0.000,0.658,3.586,1.032,128.000,64.000,4.000,64.000,2.000,2.000,8.000,158.600,5.487,12.271,1.782,0.013,0.330,13.322,0.009,0.001,0.010,0.340,25.594,30.866
L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,0.177,3.544,0.039,0.000,0.658,3.586,1.033,128.000,64.000,4.000,64.000,2.000,2.000,16.000,159.600,5.489,12.271,1.782,0.013,0.330,13.153,0.009,0.001,0.010,0.340,25.425,30.673
L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4,0.177,3.542,0.039,0.000,0.670,3.586,1.034,128.000,64.000,4.000,64.000,4.000,2.000,16.000,160.600,5.269,13.390,1.529,0.011,0.343,13.153,0.009,0.001,0.010,0.353,26.544,33.227
L1d_32kB,0.180,3.592,0.041,0.005,0.468,3.586,0.996,32.000,32.000,2.000,64.000,2.000,2.000,8.000,161.600,2.984,4.594,0.697,0.004,0.086,7.004,0.005,0.001,0.013,0.099,11.598,4.111
L1d_assoc_1,0.180,3.605,0.042,0.005,0.460,3.586,0.991,64.000,32.000,2.000,64.000,1.000,2.000,8.000,162.600,3.861,7.185,1.096,0.007,0.244,7.004,0.005,0.001,0.013,0.257,14.189,13.136
L1d_assoc_4,0.179,3.583,0.040,0.005,0.490,3.586,1.002,64.000,32.000,2.000,64.000,4.000,2.000,8.000,163.600,3.598,6.088,0.826,0.005,0.250,7.004,0.005,0.001,0.012,0.261,13.092,12.251
L1d_assoc_8,0.179,3.582,0.040,0.005,0.493,3.586,1.003,64.000,32.000,2.000,64.000,8.000,2.000,8.000,164.600,3.842,6.389,0.846,0.005,0.323,7.004,0.005,0.001,0.011,0.334,13.393,16.033
L1i_16kB,0.180,3.607,0.040,0.009,0.477,3.586,0.985,64.000,16.000,2.000,64.000,2.000,2.000,8.000,165.600,3.847,7.171,1.091,0.007,0.243,7.004,0.005,0.001,0.014,0.257,14.174,13.138
L1i_64kB,0.178,3.557,0.040,0.000,0.615,3.586,1.025,64.000,64.000,2.000,64.000,2.000,2.000,8.000,166.600,4.865,9.617,1.499,0.011,0.254,7.004,0.005,0.001,0.009,0.263,16.620,15.559
L1i_assoc_1,0.181,3.619,0.040,0.014,0.466,3.586,0.975,64.000,32.000,2.000,64.000,2.000,1.000,8.000,167.600,3.836,7.192,1.098,0.007,0.239,7.004,0.005,0.001,0.016,0.254,14.195,13.071
L1i_assoc_4,0.178,3.557,0.040,0.000,0.615,3.586,1.025,64.000,32.000,2.000,64.000,2.000,4.000,8.000,168.600,4.271,7.988,1.177,0.008,0.254,7.004,0.005,0.001,0.009,0.263,14.992,14.035
L1i_assoc_8,0.178,3.557,0.040,0.000,0.615,3.586,1.025,64.000,32.000,2.000,64.000,2.000,8.000,8.000,169.600,4.627,8.834,1.220,0.008,0.254,7.004,0.005,0.001,0.009,0.263,15.838,14.827
