sim_seconds,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,Benchmark,Config,default_cpi,speedup,L1d,L1i,L2,cacheline,L1d_assoc,L1i_assoc,L2_assoc
0.083329,1.666573,0.014359,6.7e-05,0.173845,specbzip,Cacheline_128,1.67965,1.0078466409812232,64,32,2,128,2,2,8
0.10557,2.111404,0.02405,9.7e-05,0.584866,specbzip,Cacheline_16,1.67965,0.7955133172050447,64,32,2,16,2,2,8
0.083098,1.661958,0.015258,6.3e-05,0.108546,specbzip,Cacheline_256,1.67965,1.0106452750310178,64,32,2,256,2,2,8
0.092629,1.852581,0.018283,8.7e-05,0.427357,specbzip,Cacheline_32,1.67965,0.9066540140485084,64,32,2,32,2,2,8
0.081737,1.634732,0.010771,6.7e-05,0.23603,specbzip,cl_128_L1d_128kB,1.67965,1.0274772867968571,128,32,2,128,2,2,8
0.084813,1.696263,0.017911,6.7e-05,0.137935,specbzip,cl_128_L1d_32kB,1.67965,0.990206117801308,32,32,2,128,2,2,8
0.085221,1.704425,0.017858,6.7e-05,0.139039,specbzip,cl_128_L1d_assoc_1,1.67965,0.9854643061443008,64,32,2,128,1,2,8
0.082492,1.649833,0.012826,6.7e-05,0.195893,specbzip,cl_128_L1d_assoc_4,1.67965,1.0180727382710857,64,32,2,128,4,2,8
0.083331,1.666628,0.014359,7.8e-05,0.173868,specbzip,cl_128_L1i_16kB,1.67965,1.0078133812704455,64,16,2,128,2,2,8
0.083316,1.666316,0.014358,5.6e-05,0.173828,specbzip,cl_128_L1i_64kB,1.67965,1.0080020836383976,64,64,2,128,2,2,8
0.083331,1.666628,0.014358,8.1e-05,0.17383,specbzip,cl_128_L1i_assoc_1,1.67965,1.0078133812704455,64,32,2,128,2,1,8
0.083324,1.666472,0.014359,5.4e-05,0.17386,specbzip,cl_128_L1i_assoc_4,1.67965,1.0079077236221192,64,32,2,128,2,4,8
0.084543,1.690851,0.014361,6.7e-05,0.203861,specbzip,cl_128_L2_1MB,1.67965,0.9933755251054056,64,32,1,128,2,2,8
0.082439,1.648784,0.014349,6.7e-05,0.154262,specbzip,cl_128_L2_4MB,1.67965,1.0187204630806703,64,32,4,128,2,2,8
