,processor_peak_power,core_area,core_subthreshold_leakage,core_gate_leakage,core_runtime_dynamic,L2_area,L2_subthreshold_leakage,L2_gate_leakage,L2_runtime_dynamic,Benchmark,Config
0,3.86567,7.22483,1.098,0.00726281,0.319239,7.0038,0.00472789,0.000571604,0.0156123,specbzip,1GHz
1,3.86567,7.22483,1.098,0.00726281,0.293342,7.0038,0.00472789,0.000571604,0.014338,specbzip,3GHz
2,9.22886,11.0402,1.18338,0.00728232,0.503763,38.4333,0.0163995,0.00351474,0.0755805,specbzip,Cacheline_128
3,1.56443,3.72356,0.6174,0.00318253,0.0669883,7.43189,0.00488826,0.000477109,0.00511244,specbzip,Cacheline_16
4,27.2066,26.8722,2.38722,0.0150925,0.963634,63.5151,0.0342731,0.0079159,0.234855,specbzip,Cacheline_256
5,2.22593,5.13381,0.793678,0.00471982,0.146285,6.37949,0.00445064,0.000433207,0.00735415,specbzip,Cacheline_32
6,10.2015,13.5223,1.31776,0.00809194,0.884239,38.4333,0.0163995,0.00351474,0.0543865,specbzip,cl_128_L1d_128kB
7,8.66801,9.69887,1.08309,0.00656314,0.299012,38.4333,0.0163995,0.00351474,0.0957118,specbzip,cl_128_L1d_32kB
8,9.12162,11.0702,1.17179,0.00717618,0.456461,38.4333,0.0163995,0.00351474,0.0939152,specbzip,cl_128_L1d_assoc_1
9,9.2739,10.9906,1.18301,0.00727913,0.522922,38.4333,0.0163995,0.00351474,0.0667932,specbzip,cl_128_L1d_assoc_4
10,9.24102,10.9317,1.17789,0.00728014,0.503748,38.4333,0.0163995,0.00351474,0.07559,specbzip,cl_128_L1i_16kB
11,9.91251,12.2597,1.28367,0.0080015,0.503841,38.4333,0.0163995,0.00351474,0.0755818,specbzip,cl_128_L1i_64kB
12,8.61201,9.80396,1.05873,0.00615084,0.503745,38.4333,0.0163995,0.00351474,0.0755892,specbzip,cl_128_L1i_assoc_1
